gene_id	gene_name
ENSMUSG00000004567	Mcoln1
ENSMUSG00000032839	Trpc1
ENSMUSG00000052387	Trpm3
ENSMUSG00000027365	Trpm7
ENSMUSG00000034462	Pkd2
ENSMUSG00000018507	Trpv2
ENSMUSG00000027716	Trpc3
ENSMUSG00000009292	Trpm2
ENSMUSG00000027748	Trpc4
ENSMUSG00000038260	Trpm4
ENSMUSG00000031997	Trpc6
ENSMUSG00000041710	Trpc5
ENSMUSG00000021541	Trpc7
ENSMUSG00000100254	Trpc2
ENSMUSG00000029868	Trpv6
ENSMUSG00000024727	Trpm6
ENSMUSG00000014158	Trpv4
ENSMUSG00000043029	Trpv3
ENSMUSG00000032769	Trpa1
ENSMUSG00000037578	Pkd2l1
ENSMUSG00000005952	Trpv1
ENSMUSG00000030523	Trpm1
ENSMUSG00000014503	Pkd2l2
ENSMUSG00000036853	Mcoln3
ENSMUSG00000036899	Trpv5
ENSMUSG00000011008	Mcoln2
ENSMUSG00000036251	Trpm8
ENSMUSG00000009246	Trpm5
