"source","term_name","term_id","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:MF","structural constituent of cytoskeleton","GO:0005200","1.105946733549531e-22","21.956265789742528","79","95","17","24018","ACTB,ACTBL2,TUBA1C,TUBB3,TUBB4A,TUBA8,TUBA3A,TUBB2A,TUBB5,TUBB4B,TUBA4A,INA,CAMK2B,NEFL,ACTN4,TUBB6,SPTBN1"
"GO:MF","enzyme binding","GO:0019899","4.488874246365512e-15","14.347862560977168","2169","95","40","24018","MBP,ACTB,ACTBL2,H2AX,TUBB5,ATP5F1A,HNRNPA2B1,VDAC1,SYN1,MAP2,GAPDH,SLC25A5,CFL1,HSPA8,HNRNPD,TUBA4A,YWHAG,DPYSL2,STXBP1,YWHAZ,CAMK2B,NEFL,ACTN4,YWHAE,SLC25A4,CYCS,RPS27A,MAPT,ALDOA,CKB,CHCHD3,NSF,ATP1B1,SPTBN1,ENO2,ACAT1,GNB2,FKBP1A,DNM1,GOT2"
"GO:MF","structural molecule activity","GO:0005198","7.134524097998889e-15","14.146634990805271","925","95","28","24018","MBP,ACTB,ACTBL2,H2AX,TUBA1C,TUBB3,H2BC1,TUBB4A,TUBA8,TUBA3A,H4C1,TUBB2A,TUBB5,NEFM,TUBB4B,H2AJ,TUBA4A,H2BC21,INA,CAMK2B,NEFL,ACTN4,H3F4,BSN,TUBB6,RPS27A,H2BC3,SPTBN1"
"GO:MF","protein binding","GO:0005515","1.3684121237376435e-12","11.863783086745793","10224","95","78","24018","ACTA1,MBP,ACTB,ACTBL2,H2AX,TUBB3,H2BC1,CAMK2A,H4C1,TUBB5,SPTAN1,ATP5F1A,HNRNPA2B1,VDAC1,SYN1,ATP5F1B,MAP2,TPPP,GAPDH,H2AJ,SLC25A5,CFL1,HSPA8,HNRNPD,TUBA4A,MAP6,ATP1A2,YWHAG,DPYSL2,PPIA,CS,STXBP1,GNAO1,H2BC21,INA,NDUFA4,DBN1,SEPTIN7,YWHAZ,CAMK2B,NEFL,ACTN4,YWHAE,SYN2,VDAC2,H3F4,UQCRC2,MDH2,BSN,SLC25A4,CYCS,COX4I1,RPS27A,TAGLN3,MAPT,EEF1A1,ALDOA,CKB,SYNPO,CHCHD3,SEPTIN5,CORO1A,H2BC3,NSF,ATP1B1,SPTBN1,ENO2,CKMT1,IMMT,HK1,ACAT1,GNB2,BASP1,FKBP1A,MAP1A,DNM1,MAP1B,GOT2"
"GO:MF","binding","GO:0005488","5.0391501946727696e-11","10.297642697062866","16291","95","93","24018","ACTA1,MBP,ACTB,ACTBL2,H2AX,TUBA1C,TUBB3,H2BC1,TUBB4A,TUBA8,CAMK2A,TUBA3A,H4C1,TUBB2A,TUBB5,SPTAN1,ATP5F1A,HNRNPA2B1,VDAC1,SYN1,ATP5F1B,MAP2,TUBB4B,TPPP,GAPDH,H2AJ,SLC25A5,CFL1,HSPA8,HNRNPD,TUBA4A,MAP6,ATP1A2,CALML3,YWHAG,DPYSL2,PPIA,CS,STXBP1,GNAO1,H2BC21,INA,NDUFA4,DBN1,SEPTIN7,ACO2,YWHAZ,CAMK2B,NEFL,ACTN4,YWHAE,SYN2,VDAC2,H3F4,UQCRC2,MDH2,BSN,SLC25A4,HNRNPA3,CYCS,TUBB6,COX4I1,RPS27A,TAGLN3,MAPT,EEF1A1,ALDOA,COX5B,CKB,SYNPO,CNP,ATP5ME,ATP6V1B2,CHCHD3,SEPTIN5,CORO1A,H2BC3,ATP5PF,NSF,ATP1B1,SPTBN1,ENO2,CKMT1,IMMT,HK1,ACAT1,GNB2,BASP1,FKBP1A,MAP1A,DNM1,MAP1B,GOT2"
"GO:MF","heterocyclic compound binding","GO:1901363","5.419310040255968e-11","10.26605600216705","2568","95","38","24018","ACTA1,ACTB,ACTBL2,TUBA1C,TUBB3,TUBB4A,TUBA8,CAMK2A,TUBA3A,TUBB2A,TUBB5,ATP5F1A,VDAC1,SYN1,ATP5F1B,TUBB4B,GAPDH,HSPA8,TUBA4A,ATP1A2,GNAO1,SEPTIN7,CAMK2B,ACTN4,SYN2,VDAC2,TUBB6,EEF1A1,CKB,CNP,ATP6V1B2,SEPTIN5,NSF,CKMT1,HK1,ACAT1,DNM1,GOT2"
"GO:MF","nucleoside phosphate binding","GO:1901265","3.0751954426172546e-10","9.512127277627458","2428","95","36","24018","ACTA1,ACTB,ACTBL2,TUBA1C,TUBB3,TUBB4A,TUBA8,CAMK2A,TUBA3A,TUBB2A,TUBB5,ATP5F1A,VDAC1,SYN1,ATP5F1B,TUBB4B,GAPDH,HSPA8,TUBA4A,ATP1A2,GNAO1,SEPTIN7,CAMK2B,SYN2,VDAC2,TUBB6,EEF1A1,CKB,CNP,ATP6V1B2,SEPTIN5,NSF,CKMT1,HK1,ACAT1,DNM1"
"GO:MF","protein-containing complex binding","GO:0044877","3.0759534404240857e-10","9.512020242576696","1530","95","29","24018","H2AX,TUBB5,SPTAN1,VDAC1,H2AJ,CFL1,PPIA,GNAO1,INA,NDUFA4,DBN1,YWHAZ,NEFL,ACTN4,YWHAE,UQCRC2,TAGLN3,MAPT,ATP5ME,CORO1A,ATP5PF,NSF,SPTBN1,ENO2,HK1,GNB2,MAP1A,DNM1,MAP1B"
"GO:MF","purine ribonucleoside triphosphate binding","GO:0035639","5.94445708319119e-10","9.225887804046335","2072","95","33","24018","ACTA1,ACTB,ACTBL2,TUBA1C,TUBB3,TUBB4A,TUBA8,CAMK2A,TUBA3A,TUBB2A,TUBB5,ATP5F1A,VDAC1,SYN1,ATP5F1B,TUBB4B,HSPA8,TUBA4A,ATP1A2,GNAO1,SEPTIN7,CAMK2B,SYN2,VDAC2,TUBB6,EEF1A1,CKB,ATP6V1B2,SEPTIN5,NSF,CKMT1,HK1,DNM1"
"GO:MF","purine nucleotide binding","GO:0017076","9.80642902005633e-10","9.008489110787234","2245","95","34","24018","ACTA1,ACTB,ACTBL2,TUBA1C,TUBB3,TUBB4A,TUBA8,CAMK2A,TUBA3A,TUBB2A,TUBB5,ATP5F1A,VDAC1,SYN1,ATP5F1B,TUBB4B,GAPDH,HSPA8,TUBA4A,ATP1A2,GNAO1,SEPTIN7,CAMK2B,SYN2,VDAC2,TUBB6,EEF1A1,CKB,ATP6V1B2,SEPTIN5,NSF,CKMT1,HK1,DNM1"
