"source","term_name","term_id","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:MF","structural molecule activity","GO:0005198","1.0465294569501398e-19","18.980248542947987","925","99","33","24018","H2AX,H4C1,H3F4,H2BC1,TUBA1C,TUBB4A,TUBA8,H2AJ,MBP,ACTB,TUBB3,ACTBL2,TUBA4A,H2BC21,PLP1,TUBB2A,H2BC3,MACROH2A2,HIST2H2AA1,CLTC,TUBB5,TUBA3A,SPTBN1,ACTN4,SPTBN2,DLG4,GPM6B,CAMK2B,H1-2,MACROH2A1,MOBP,NEFM,TUBB6"
"GO:MF","structural constituent of cytoskeleton","GO:0005200","1.1978985512015295e-18","17.92157996034317","79","99","15","24018","TUBA1C,TUBB4A,TUBA8,ACTB,TUBB3,ACTBL2,TUBA4A,TUBB2A,TUBB5,TUBA3A,SPTBN1,ACTN4,SPTBN2,CAMK2B,TUBB6"
"GO:MF","monoatomic ion transmembrane transporter activity","GO:0015075","6.209724298099646e-16","15.206927681380904","806","99","28","24018","MTCO2,ATP1A2,SLC25A5,SLC25A3,ATP1B1,ATP1A1,ATP5MF,ATP5F1B,SLC25A4,SNAP25,VDAC2,VDAC1,SLC25A22,VDAC3,ATP5F1A,ATP1A3,ATP6V0A1,SFXN3,ATP6V0D1,GPM6A,GRIN1,SLC1A2,ATP2B2,GNB2,MTATP8,SLC1A3,GRIN2B,SLC25A12"
"GO:MF","inorganic cation transmembrane transporter activity","GO:0022890","5.135904005102001e-14","13.28938310223751","641","99","24","24018","MTCO2,ATP1A2,SLC25A5,SLC25A3,ATP1B1,ATP1A1,ATP5MF,ATP5F1B,SLC25A4,SNAP25,SLC25A22,ATP5F1A,ATP1A3,ATP6V0A1,ATP6V0D1,GPM6A,GRIN1,SLC1A2,ATP2B2,GNB2,MTATP8,SLC1A3,GRIN2B,SLC25A12"
"GO:MF","monoatomic cation transmembrane transporter activity","GO:0008324","1.928282845956493e-13","12.71482926222336","680","99","24","24018","MTCO2,ATP1A2,SLC25A5,SLC25A3,ATP1B1,ATP1A1,ATP5MF,ATP5F1B,SLC25A4,SNAP25,SLC25A22,ATP5F1A,ATP1A3,ATP6V0A1,ATP6V0D1,GPM6A,GRIN1,SLC1A2,ATP2B2,GNB2,MTATP8,SLC1A3,GRIN2B,SLC25A12"
"GO:MF","transmembrane transporter activity","GO:0022857","1.0387393306625353e-12","11.983493424009934","1171","99","29","24018","MTCO2,ATP1A2,SLC25A5,SLC25A3,ATP1B1,ATP1A1,ATP5MF,ATP5F1B,SLC25A4,SNAP25,VDAC2,VDAC1,SLC25A22,VDAC3,ATP5F1A,ATP1A3,ATP6V0A1,SFXN3,SLC3A2,ATP6V0D1,GPM6A,GRIN1,SLC1A2,ATP2B2,GNB2,MTATP8,SLC1A3,GRIN2B,SLC25A12"
"GO:MF","inorganic molecular entity transmembrane transporter activity","GO:0015318","2.1440847132475513e-12","11.668758059572017","758","99","24","24018","MTCO2,ATP1A2,SLC25A5,SLC25A3,ATP1B1,ATP1A1,ATP5MF,ATP5F1B,SLC25A4,SNAP25,SLC25A22,ATP5F1A,ATP1A3,ATP6V0A1,ATP6V0D1,GPM6A,GRIN1,SLC1A2,ATP2B2,GNB2,MTATP8,SLC1A3,GRIN2B,SLC25A12"
"GO:MF","transporter activity","GO:0005215","8.557107834950182e-12","11.067672995084596","1271","99","29","24018","MTCO2,ATP1A2,SLC25A5,SLC25A3,ATP1B1,ATP1A1,ATP5MF,ATP5F1B,SLC25A4,SNAP25,VDAC2,VDAC1,SLC25A22,VDAC3,ATP5F1A,ATP1A3,ATP6V0A1,SFXN3,SLC3A2,ATP6V0D1,GPM6A,GRIN1,SLC1A2,ATP2B2,GNB2,MTATP8,SLC1A3,GRIN2B,SLC25A12"
"GO:MF","nucleoside phosphate binding","GO:1901265","4.00855429660289e-11","10.39701222942837","2428","99","38","24018","ACTA1,TUBA1C,TUBB4A,TUBA8,ACTB,TUBB3,ACTBL2,ATP1A2,TUBA4A,CAMK2A,GNAO1,CNP,TUBB2A,ATP1A1,SYN1,ATP5F1B,TUBB5,VDAC2,HK1,VDAC1,TUBA3A,RAC1,VDAC3,ATP5F1A,ATP1A3,MYO5A,CAMK2B,SEPTIN8,HSPA8,ATP2B2,SYN2,EEF1A1,MACROH2A1,HNRNPU,CKB,TUBB6,GAPDH,SEPTIN7"
"GO:MF","heterocyclic compound binding","GO:1901363","4.281382647150559e-11","10.368415955506132","2568","99","39","24018","ACTA1,TUBA1C,TUBB4A,TUBA8,ACTB,TUBB3,ACTBL2,ATP1A2,TUBA4A,CAMK2A,GNAO1,CNP,TUBB2A,ATP1A1,SYN1,ATP5F1B,TUBB5,VDAC2,HK1,VDAC1,TUBA3A,RAC1,ACTN4,VDAC3,ATP5F1A,ATP1A3,MYO5A,CAMK2B,SEPTIN8,HSPA8,ATP2B2,SYN2,EEF1A1,MACROH2A1,HNRNPU,CKB,TUBB6,GAPDH,SEPTIN7"
"GO:MF","anion binding","GO:0043168","1.6112136465763278e-10","9.792846868409315","2676","99","39","24018","ACTA1,TUBA1C,TUBB4A,TUBA8,ACTB,TUBB3,ACTBL2,ATP1A2,TUBA4A,CAMK2A,GNAO1,TUBB2A,ATP1A1,SYT1,SYN1,ATP5F1B,TUBB5,VDAC2,HK1,VDAC1,TUBA3A,RAC1,ATP5F1A,ATP1A3,MYO5A,CAMK2B,SEPTIN8,GRIN1,HSPA8,ATP2B2,SYN2,EEF1A1,SLC1A3,MACROH2A1,GRIN2B,HNRNPU,CKB,TUBB6,SEPTIN7"
"GO:MF","nucleotide binding","GO:0000166","1.6685754721450656e-10","9.77765414478093","2405","99","37","24018","ACTA1,TUBA1C,TUBB4A,TUBA8,ACTB,TUBB3,ACTBL2,ATP1A2,TUBA4A,CAMK2A,GNAO1,CNP,TUBB2A,ATP1A1,SYN1,ATP5F1B,TUBB5,VDAC2,HK1,VDAC1,TUBA3A,RAC1,VDAC3,ATP5F1A,ATP1A3,MYO5A,CAMK2B,SEPTIN8,HSPA8,ATP2B2,SYN2,EEF1A1,HNRNPU,CKB,TUBB6,GAPDH,SEPTIN7"
"GO:MF","enzyme binding","GO:0019899","2.381258267186048e-10","9.623193499206216","2169","99","35","24018","H2AX,THY1,MBP,ACTB,ACTBL2,TUBA4A,SLC25A5,ATP1B1,ATP1A1,STXBP1,SYN1,SLC25A4,CLTC,TUBB5,VDAC1,SPTBN1,RAC1,ACTN4,DLG4,ATP5F1A,AP2A1,ATP6V0A1,MYO5A,CAMK2B,GRIN1,HSPA8,YWHAZ,YWHAG,GNB2,AP2A2,SYNGAP1,MACROH2A1,HNRNPU,CKB,GAPDH"
"GO:MF","purine ribonucleoside triphosphate binding","GO:0035639","3.634557024207701e-10","9.439548512910964","2072","99","34","24018","ACTA1,TUBA1C,TUBB4A,TUBA8,ACTB,TUBB3,ACTBL2,ATP1A2,TUBA4A,CAMK2A,GNAO1,TUBB2A,ATP1A1,SYN1,ATP5F1B,TUBB5,VDAC2,HK1,VDAC1,TUBA3A,RAC1,ATP5F1A,ATP1A3,MYO5A,CAMK2B,SEPTIN8,HSPA8,ATP2B2,SYN2,EEF1A1,HNRNPU,CKB,TUBB6,SEPTIN7"
"GO:MF","structural constituent of chromatin","GO:0030527","4.0490305863527586e-10","9.392648942561285","108","99","11","24018","H2AX,H4C1,H3F4,H2BC1,H2AJ,H2BC21,H2BC3,MACROH2A2,HIST2H2AA1,H1-2,MACROH2A1"
"GO:MF","proton transmembrane transporter activity","GO:0015078","4.312738348933667e-10","9.36524688942216","145","99","12","24018","MTCO2,SLC25A5,SLC25A3,ATP5MF,ATP5F1B,SLC25A4,SLC25A22,ATP5F1A,ATP6V0A1,ATP6V0D1,MTATP8,SLC25A12"
"GO:MF","carbohydrate derivative binding","GO:0097367","4.415426595601028e-10","9.355027330780542","2483","99","37","24018","THY1,ACTA1,TUBA1C,TUBB4A,TUBA8,ACTB,TUBB3,ACTBL2,ATP1A2,TUBA4A,CAMK2A,GNAO1,TUBB2A,ATP1A1,SYN1,ATP5F1B,TUBB5,VDAC2,HK1,VDAC1,TUBA3A,RAC1,ACTN4,ATP5F1A,ATP1A3,MYO5A,CAMK2B,SEPTIN8,HSPA8,ATP2B2,SYN2,EEF1A1,MACROH2A1,HNRNPU,CKB,TUBB6,SEPTIN7"
"GO:MF","purine nucleotide binding","GO:0017076","6.470095804354172e-10","9.189089288574838","2245","99","35","24018","ACTA1,TUBA1C,TUBB4A,TUBA8,ACTB,TUBB3,ACTBL2,ATP1A2,TUBA4A,CAMK2A,GNAO1,TUBB2A,ATP1A1,SYN1,ATP5F1B,TUBB5,VDAC2,HK1,VDAC1,TUBA3A,RAC1,ATP5F1A,ATP1A3,MYO5A,CAMK2B,SEPTIN8,HSPA8,ATP2B2,SYN2,EEF1A1,HNRNPU,CKB,TUBB6,GAPDH,SEPTIN7"
"GO:MF","purine ribonucleotide binding","GO:0032555","8.360997681300692e-10","9.077741897006987","2134","99","34","24018","ACTA1,TUBA1C,TUBB4A,TUBA8,ACTB,TUBB3,ACTBL2,ATP1A2,TUBA4A,CAMK2A,GNAO1,TUBB2A,ATP1A1,SYN1,ATP5F1B,TUBB5,VDAC2,HK1,VDAC1,TUBA3A,RAC1,ATP5F1A,ATP1A3,MYO5A,CAMK2B,SEPTIN8,HSPA8,ATP2B2,SYN2,EEF1A1,HNRNPU,CKB,TUBB6,SEPTIN7"
"GO:MF","ribonucleotide binding","GO:0032553","1.0728189766471917e-9","8.969473553034655","2153","99","34","24018","ACTA1,TUBA1C,TUBB4A,TUBA8,ACTB,TUBB3,ACTBL2,ATP1A2,TUBA4A,CAMK2A,GNAO1,TUBB2A,ATP1A1,SYN1,ATP5F1B,TUBB5,VDAC2,HK1,VDAC1,TUBA3A,RAC1,ATP5F1A,ATP1A3,MYO5A,CAMK2B,SEPTIN8,HSPA8,ATP2B2,SYN2,EEF1A1,HNRNPU,CKB,TUBB6,SEPTIN7"
"GO:MF","active transmembrane transporter activity","GO:0022804","1.3429717015499087e-9","8.871933138478122","437","99","17","24018","MTCO2,ATP1A2,SLC25A5,SLC25A3,ATP1B1,ATP1A1,ATP5F1B,SLC25A4,SLC25A22,ATP1A3,ATP6V0A1,SLC3A2,ATP6V0D1,SLC1A2,ATP2B2,SLC1A3,SLC25A12"
