"source","term_name","term_id","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:MF","structural molecule activity","GO:0005198","6.090787834805866e-27","26.215326528355725","925","98","39","24018","MBP,H2BC1,H2AX,H1-4,H1-2,HP1BP3,H2BC21,H1-5,H1-1,H4C1,ACTB,BSN,H2AJ,H1-0,H2BC3,H3F4,ACTBL2,TUBB3,KRT71,PLP1,KRT18,RPL23A,PCLO,NEFM,ANK2,KRT19,RPL6,KRT10,H1-3,HIST2H2AA1,RPS27A,TUBA3A,RPL28,SHANK2,RPL19,COL1A2,TUBB4A,COL4A2,KRT1"
"GO:MF","structural constituent of chromatin","GO:0030527","1.5363512377060483e-16","15.813509485372558","108","98","15","24018","H2BC1,H2AX,H1-4,H1-2,HP1BP3,H2BC21,H1-5,H1-1,H4C1,H2AJ,H1-0,H2BC3,H3F4,H1-3,HIST2H2AA1"
"GO:MF","protein-containing complex binding","GO:0044877","6.960061378742347e-10","9.157386930456742","1530","98","29","24018","H2AX,H1-4,H1-2,HP1BP3,H1-5,H1-1,H2AJ,H1-0,MAP1B,MAP1A,PLP1,RPL23A,THY1,ATP5ME,ANK2,HNRNPC,KRT19,PPIA,H1-3,SNRPD2,MAPT,HIST2H2AA1,NOLC1,VAMP2,NPM1,CFL1,DMTN,DBN1,VDAC1"
"GO:MF","protein binding","GO:0005515","8.34912295382472e-10","9.078359143237297","10224","98","76","24018","MBP,H2BC1,H2AX,H1-4,H1-2,H2BC21,H1-5,H1-1,ACTA1,H4C1,ACTB,BSN,SYN1,MAP6,HNRNPA2B1,H2AJ,MAP1B,H2BC3,H3F4,CYCS,MAP1A,TNNC2,MAP2,ACTBL2,TPPP,SYNPO,TUBB3,PLP1,BASP1,KRT18,RPL23A,THY1,PCLO,CAMK2A,ANK2,HNRNPC,KRT19,PPIA,KRT10,H1-3,MAPT,HIST2H2AA1,PSIP1,NOLC1,RPS27A,HNRNPD,SLC25A5,ALDOA,VAMP2,SFPQ,NPM1,HSPA8,BAIAP2,ATP1A2,FKBP1A,PSD3,HSPE1,SHANK2,NEGR1,CFL1,COL1A2,MATR3,DMTN,MAP4,BCAS1,GAPDH,SORBS2,DBN1,KRT1,GNG2,SRCIN1,EEF1A1,ATP5F1A,SYNGAP1,VDAC1,SLC25A4"
"GO:MF","nucleosome binding","GO:0031491","2.749535466586018e-9","8.560740673929635","94","98","10","24018","H2AX,H1-4,H1-2,HP1BP3,H1-5,H1-1,H2AJ,H1-0,H1-3,HIST2H2AA1"
"GO:MF","nucleosomal DNA binding","GO:0031492","2.8790213334843025e-9","8.540755116997504","65","98","9","24018","H2AX,H1-4,H1-2,H1-5,H1-1,H2AJ,H1-0,H1-3,HIST2H2AA1"
"GO:MF","enzyme binding","GO:0019899","6.212469320236623e-7","6.206735742980517","2169","98","30","24018","MBP,H2AX,H1-4,H1-5,ACTB,SYN1,HNRNPA2B1,CYCS,MAP2,ACTBL2,THY1,ANK2,HNRNPC,MAPT,RPS27A,HNRNPD,SLC25A5,ALDOA,SFPQ,NPM1,HSPA8,FKBP1A,CFL1,COL1A2,GAPDH,SRCIN1,ATP5F1A,SYNGAP1,VDAC1,SLC25A4"
"GO:MF","chromatin DNA binding","GO:0031490","0.0000063130762495084","5.199758965220283","152","98","9","24018","H2AX,H1-4,H1-2,H1-5,H1-1,H2AJ,H1-0,H1-3,HIST2H2AA1"
"GO:MF","binding","GO:0005488","0.000007084984948265184","5.149661068054815","16291","98","90","24018","MBP,H2BC1,H2AX,H1-4,H1-2,HP1BP3,H2BC21,H1-5,H1-1,ACTA1,H4C1,ACTB,BSN,SYN1,MAP6,HNRNPA2B1,H2AJ,H1-0,MAP1B,H2BC3,H3F4,CYCS,MAP1A,TNNC2,MAP2,ACTBL2,TPPP,SYNPO,TUBB3,CALML3,PLP1,BASP1,KRT18,RPL23A,THY1,PCLO,ATP5ME,CAMK2A,ANK2,HNRNPC,KRT19,PPIA,COX5B,RPL6,KRT10,H1-3,SNRPD2,MAPT,HIST2H2AA1,PSIP1,NOLC1,RPS27A,TUBA3A,HNRNPD,SLC25A5,ALDOA,VAMP2,SFPQ,ACO2,NPM1,HSPA8,BAIAP2,ATP1A2,FKBP1A,PSD3,HSPE1,SHANK2,NEGR1,CFL1,RPL19,COL1A2,TUBB4A,MATR3,DMTN,SLC1A2,MAP4,BCAS1,GAPDH,CENPV,SORBS2,DBN1,KRT1,GNG2,SRCIN1,EEF1A1,HNRNPA3,ATP5F1A,SYNGAP1,VDAC1,SLC25A4"
"GO:MF","protein heterodimerization activity","GO:0046982","0.000010142385981562513","4.9938598658377416","350","98","12","24018","H2BC1,H2AX,H2BC21,H4C1,H2AJ,H2BC3,H3F4,KRT10,HIST2H2AA1,NOLC1,ATP1A2,KRT1"
