"source","term_name","term_id","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:MF","structural molecule activity","GO:0005198","4.645810767029374e-36","35.33293848384027","925","98","46","24018","MBP,H2BC1,H1-4,H2AX,H1-2,H1-5,HP1BP3,H2BC21,ACTB,H1-1,BSN,H4C1,H1-0,KRT71,H3F4,ACTBL2,H2BC3,KRT18,H2AJ,H1-3,KRT10,NEFM,KRT19,PCLO,KRT76,RPL6,ANK2,RPL23A,TUBB3,KRT6A,KRT5,RPS27A,RPL28,TUBA3A,KRT42,KRT1,RPL19,KRT17,SHANK2,HIST2H2AA1,COL4A2,PLP1,SPTBN1,KRT78,SPTBN2,RPL7A"
"GO:MF","structural constituent of chromatin","GO:0030527","1.5363512377060483e-16","15.813509485372558","108","98","15","24018","H2BC1,H1-4,H2AX,H1-2,H1-5,HP1BP3,H2BC21,H1-1,H4C1,H1-0,H3F4,H2BC3,H2AJ,H1-3,HIST2H2AA1"
"GO:MF","protein-containing complex binding","GO:0044877","1.5476883413289935e-11","10.810316488916724","1530","98","31","24018","H1-4,H2AX,H1-2,H1-5,HP1BP3,H1-1,H1-0,MAP1B,MAP1A,H2AJ,H1-3,KRT19,ANK2,RPL23A,THY1,MAPT,SNRPD2,ATP5ME,HNRNPC,NPM1,DMTN,NOLC1,HIST2H2AA1,VAMP2,CFL1,PLP1,PPIA,SPTBN1,SPTBN2,DBN1,VDAC1"
"GO:MF","protein binding","GO:0005515","3.38566745931715e-11","10.470355700590888","10224","98","78","24018","MBP,H2BC1,H1-4,H2AX,H1-2,H1-5,ACTA1,H2BC21,ACTB,H1-1,SYN1,BSN,HNRNPA2B1,H4C1,MAP6,H3F4,MAP1B,MAP1A,ACTBL2,H2BC3,KRT18,CYCS,MAP2,H2AJ,H1-3,SYNPO,CAMK2A,KRT10,BASP1,KRT19,TPPP,PCLO,PSIP1,ANK2,TNNC2,RPL23A,TUBB3,THY1,ALDOA,MAPT,KRT5,RPS27A,HNRNPC,SFPQ,KRT1,HSPA8,FKBP1A,PSD3,NPM1,HNRNPD,DMTN,NOLC1,BAIAP2,EEF1A1,MATR3,HSPE1,KRT17,SLC25A5,SHANK2,HIST2H2AA1,ATP1A2,VAMP2,BCAS1,CFL1,PLP1,PPIA,SPTBN1,SPTBN2,DBN1,SORBS2,SRCIN1,SYNGAP1,RPL7A,MAP4,VDAC1,IQSEC2,MECP2,HNRNPL"
"GO:MF","nucleosome binding","GO:0031491","2.749535466586018e-9","8.560740673929635","94","98","10","24018","H1-4,H2AX,H1-2,H1-5,HP1BP3,H1-1,H1-0,H2AJ,H1-3,HIST2H2AA1"
"GO:MF","nucleosomal DNA binding","GO:0031492","2.8790213334843025e-9","8.540755116997504","65","98","9","24018","H1-4,H2AX,H1-2,H1-5,H1-1,H1-0,H2AJ,H1-3,HIST2H2AA1"
"GO:MF","structural constituent of skin epidermis","GO:0030280","1.4418140362398489e-8","7.841090750880815","30","98","7","24018","KRT71,KRT10,KRT76,KRT6A,KRT5,KRT1,KRT78"
"GO:MF","chromatin DNA binding","GO:0031490","3.35891783716086e-7","6.473800619350975","152","98","10","24018","H1-4,H2AX,H1-2,H1-5,H1-1,H1-0,H2AJ,H1-3,HIST2H2AA1,MECP2"
"GO:MF","structural constituent of synapse","GO:0098918","0.0000029440104761350365","5.531060648913498","35","98","6","24018","ACTB,BSN,ACTBL2,PCLO,SHANK2,SPTBN2"
"GO:MF","protein heterodimerization activity","GO:0046982","0.000010142385981562513","4.9938598658377416","350","98","12","24018","H2BC1,H2AX,H2BC21,H4C1,H3F4,H2BC3,H2AJ,KRT10,KRT1,NOLC1,HIST2H2AA1,ATP1A2"
