"source","term_name","term_id","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:MF","active transmembrane transporter activity","GO:0022804","1.702008177983587e-14","13.769038357503716","437","95","21","24018","ATP1A2,SLC1A2,ATP1A3,SLC1A3,ATP1A1,SLC25A5,ATP2B2,ATP2B4,SLC6A1,SLC25A4,ATP1B1,SLC3A2,SLC25A3,ATP5F1B,LETM1,NDUFS1,ATP2B1,SLC17A7,ATP2A2,ATP6V0C,SLC17A6"
"GO:MF","protein binding","GO:0005515","3.112893677786161e-14","13.50683571257779","10224","95","80","24018","ATP1A2,HSP90AB1,SNAP91,DNM1,SYN1,ATP1A3,SLC1A3,SIRPA,ATP1A1,HSP90AA1,AMPH,MAP6,DNM3,AP2B1,NCAM1,NSF,DPYSL2,SLC25A5,CANX,KRT5,AAK1,ATP2B2,AP2A1,CNTN1,ATP2B4,SLC6A1,HSP90B1,DBN1,AKAP5,ADD1,SLC25A4,ACTN4,HSPA8,ADD2,EPB41L3,ATP1B1,UBA1,VCP,SLC3A2,HK1,ATP5F1B,RPS27A,SV2A,KRT10,NDUFS1,EPB41L1,HNRNPU,ATP2B1,USP5,ACTA1,ACTBL2,CRMP1,H2AX,H4C1,RPH3A,DNAJC6,H2BC1,PLP1,KRT18,GPRIN1,RTN3,CAND1,IMMT,HSPH1,VPS35,KRT79,AP1B1,ATP2A2,ACTB,PRKCG,BIN1,CD47,EZR,ATP6V0C,AP2A2,MATR3,OGDH,PYGB,PFKP,SLC2A3"
"GO:MF","P-type ion transporter activity","GO:0015662","4.176379480906675e-12","11.379200046649455","34","95","9","24018","ATP1A2,ATP1A3,ATP1A1,ATP2B2,ATP2B4,ATP1B1,ATP2B1,ATP2A2,ATP6V0C"
"GO:MF","P-type transmembrane transporter activity","GO:0140358","4.176379480906675e-12","11.379200046649455","34","95","9","24018","ATP1A2,ATP1A3,ATP1A1,ATP2B2,ATP2B4,ATP1B1,ATP2B1,ATP2A2,ATP6V0C"
"GO:MF","enzyme binding","GO:0019899","1.0136193817672496e-11","10.99412509375002","2169","95","36","24018","HSP90AB1,DNM1,SYN1,SIRPA,ATP1A1,HSP90AA1,AMPH,DNM3,NSF,DPYSL2,SLC25A5,AP2A1,ATP2B4,HSP90B1,AKAP5,SLC25A4,ACTN4,HSPA8,ADD2,ATP1B1,VCP,RPS27A,SV2A,HNRNPU,ACTBL2,H2AX,RPH3A,KRT79,AP1B1,ATP2A2,ACTB,BIN1,EZR,ATP6V0C,AP2A2,SLC2A3"
"GO:MF","ATPase-coupled monoatomic cation transmembrane transporter activity","GO:0019829","1.6586788659798895e-11","10.780237688859891","59","95","10","24018","ATP1A2,ATP1A3,ATP1A1,ATP2B2,ATP2B4,ATP1B1,ATP5F1B,ATP2B1,ATP2A2,ATP6V0C"
"GO:MF","active monoatomic ion transmembrane transporter activity","GO:0022853","1.039862719494491e-10","9.983023991567862","99","95","11","24018","ATP1A2,ATP1A3,ATP1A1,ATP2B2,ATP2B4,ATP1B1,ATP5F1B,NDUFS1,ATP2B1,ATP2A2,ATP6V0C"
"GO:MF","ATP-dependent activity","GO:0140657","2.1089993464464782e-10","9.675923554843127","623","95","20","24018","ATP1A2,HSP90AB1,ATP1A3,ATP1A1,HSP90AA1,NSF,ATP2B2,ATP2B4,HSP90B1,HSPA4,HSPA8,ATP1B1,UBA1,VCP,ATP5F1B,ATP2B1,HSPH1,ATP2A2,ACTB,ATP6V0C"
"GO:MF","inorganic cation transmembrane transporter activity","GO:0022890","3.5341368010842966e-9","8.451716643622085","641","95","19","24018","ATP1A2,SLC1A2,ATP1A3,SLC1A3,ATP1A1,SLC25A5,ATP2B2,ATP2B4,SLC6A1,SLC25A4,ATP1B1,SLC25A3,ATP5F1B,LETM1,NDUFS1,ATP2B1,SLC17A7,ATP2A2,ATP6V0C"
"GO:MF","kinase binding","GO:0019900","3.982841671340797e-9","8.399806957620228","823","95","21","24018","HSP90AB1,DNM1,SYN1,SIRPA,ATP1A1,HSP90AA1,DNM3,NSF,DPYSL2,AP2A1,ATP2B4,AKAP5,ADD2,ATP1B1,SV2A,ACTBL2,AP1B1,ACTB,EZR,AP2A2,SLC2A3"
"GO:MF","structural molecule activity","GO:0005198","4.581544011274803e-9","8.33898813715485","925","95","22","24018","KRT71,DNM3,KRT5,ADD1,ACTN4,ADD2,TUBA1C,EPB41L3,NEFM,RPS27A,KRT10,GPM6B,EPB41L1,KRT78,ACTBL2,H2AX,H4C1,H2BC1,PLP1,KRT18,KRT79,ACTB"
"GO:MF","protein kinase binding","GO:0019901","5.742555869756714e-9","8.240894770828799","747","95","20","24018","HSP90AB1,DNM1,SYN1,SIRPA,ATP1A1,HSP90AA1,DNM3,NSF,DPYSL2,AP2A1,ATP2B4,AKAP5,ADD2,ATP1B1,SV2A,ACTBL2,AP1B1,ACTB,EZR,AP2A2"
"GO:MF","inorganic molecular entity transmembrane transporter activity","GO:0015318","7.466643079327994e-9","8.126874608332","758","95","20","24018","ATP1A2,SLC1A2,ATP1A3,SLC1A3,ATP1A1,SLC25A5,ATP2B2,ATP2B4,SLC6A1,SLC25A4,ATP1B1,SLC25A3,ATP5F1B,LETM1,NDUFS1,ATP2B1,SLC17A7,ATP2A2,ATP6V0C,SLC17A6"
"GO:MF","monoatomic cation transmembrane transporter activity","GO:0008324","9.780171703633329e-9","8.00965352054104","680","95","19","24018","ATP1A2,SLC1A2,ATP1A3,SLC1A3,ATP1A1,SLC25A5,ATP2B2,ATP2B4,SLC6A1,SLC25A4,ATP1B1,SLC25A3,ATP5F1B,LETM1,NDUFS1,ATP2B1,SLC17A7,ATP2A2,ATP6V0C"
"GO:MF","transmembrane transporter activity","GO:0022857","9.780623118266265e-9","8.009633475661888","1171","95","24","24018","ATP1A2,SLC1A2,ATP1A3,SLC1A3,ATP1A1,SLC25A5,ATP2B2,ATP2B4,SLC6A1,SLC25A4,ATP1B1,SLC3A2,SLC25A3,ATP5F1B,LETM1,SV2A,NDUFS1,ATP2B1,SLC17A7,ATP2A2,ATP6V0C,SLC17A6,SLC2A3,SV2B"
"GO:MF","ATPase-coupled transmembrane transporter activity","GO:0042626","1.0502596044956464e-8","7.978703338201884","110","95","10","24018","ATP1A2,ATP1A3,ATP1A1,ATP2B2,ATP2B4,ATP1B1,ATP5F1B,ATP2B1,ATP2A2,ATP6V0C"
"GO:MF","primary active transmembrane transporter activity","GO:0015399","1.3879622956210557e-8","7.857622331450422","154","95","11","24018","ATP1A2,ATP1A3,ATP1A1,ATP2B2,ATP2B4,ATP1B1,ATP5F1B,NDUFS1,ATP2B1,ATP2A2,ATP6V0C"
"GO:MF","monoatomic ion transmembrane transporter activity","GO:0015075","2.235319539691593e-8","7.650660385549755","806","95","20","24018","ATP1A2,SLC1A2,ATP1A3,SLC1A3,ATP1A1,SLC25A5,ATP2B2,ATP2B4,SLC6A1,SLC25A4,ATP1B1,SLC25A3,ATP5F1B,LETM1,NDUFS1,ATP2B1,SLC17A7,ATP2A2,ATP6V0C,SLC17A6"
"GO:MF","ATP hydrolysis activity","GO:0016887","2.6686092421706663e-8","7.573715014220397","398","95","15","24018","ATP1A2,HSP90AB1,ATP1A3,ATP1A1,HSP90AA1,NSF,ATP2B2,ATP2B4,HSP90B1,HSPA8,VCP,ATP5F1B,ATP2B1,ATP2A2,ACTB"
