"source","term_name","term_id","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:MF","structural molecule activity","GO:0005198","7.655333826862421e-24","23.116035866232455","925","95","36","24018","MBP,H2BC1,H2AX,TUBA1C,H4C1,H1-2,H1-4,H2BC21,H1-1,TUBA4A,ACTBL2,TUBB4A,TUBB3,NEFM,H3F4,PLLP,TUBB2A,H2AJ,COL1A1,TUBA3A,TPM1,H1-5,ACTB,TUBA8,COL1A2,MYL1,ADD2,MYOM2,NEFL,INA,MACROH2A2,VIM,CLTC,TUBB2B,HIST2H2AA1,TUBB5"
"GO:MF","structural constituent of cytoskeleton","GO:0005200","1.105946733549531e-22","21.956265789742528","79","95","17","24018","TUBA1C,TUBA4A,ACTBL2,TUBB4A,TUBB3,TUBB2A,TUBA3A,TPM1,ACTB,TUBA8,ADD2,MYOM2,NEFL,INA,VIM,TUBB2B,TUBB5"
"GO:MF","protein binding","GO:0005515","2.1405322100713138e-13","12.669478232650516","10224","95","79","24018","MBP,H2BC1,H2AX,ACTA1,H4C1,H1-2,H1-4,H2BC21,THY1,MYH4,H1-1,TUBA4A,CKB,ACTBL2,MYH1,TUBB3,SLC25A5,ATP5F1B,H3F4,ANKS1B,PLLP,ATP1A2,H2AJ,COX5A,ALDOA,COL1A1,ATP5F1A,COX4I1,TPM1,ATP1A1,H1-5,MAP1A,ACTB,MAP6,GNAO1,NEGR1,RAC1,OMG,ACAT1,HNRNPD,ATP1B1,SYN1,MYH13,COL1A2,PPIA,ADD2,MYOM2,BAIAP2,SLC25A12,MATR3,SPTAN1,ATP1A3,VDAC1,NEFL,SYN2,EEF1A1,GNB2,GAPDH,YWHAZ,HNRNPU,INA,MACROH2A2,VAMP2,GNG2,VIM,SRSF3,YWHAG,GNG12,CLTC,CNTN1,TUBB2B,HIST2H2AA1,HNRNPA2B1,DMTN,MDH2,CYC1,AP2A1,TUBB5,HSPG2"
"GO:MF","protein-containing complex binding","GO:0044877","8.305443011779146e-13","12.080637197355902","1530","95","32","24018","H2AX,H1-2,H1-4,THY1,MYH4,H1-1,MYH1,H2AJ,TPM1,H1-5,MAP1A,GNAO1,RAC1,MYH13,PPIA,ADD2,SPTAN1,VDAC1,NEFL,ATP5ME,GNB2,YWHAZ,HNRNPU,INA,MACROH2A2,VAMP2,SLC25A3,HIST2H2AA1,DMTN,AP2A1,TUBB5,HSPG2"
"GO:MF","structural constituent of chromatin","GO:0030527","7.856469896323276e-12","11.104772549243851","108","95","12","24018","H2BC1,H2AX,H4C1,H1-2,H1-4,H2BC21,H1-1,H3F4,H2AJ,H1-5,MACROH2A2,HIST2H2AA1"
"GO:MF","enzyme binding","GO:0019899","6.261850419088651e-11","10.203297310871177","2169","95","35","24018","MBP,H2AX,H1-4,THY1,TUBA4A,CKB,ACTBL2,SLC25A5,ALDOA,COL1A1,ATP5F1A,ATP1A1,H1-5,ACTB,RAC1,ACAT1,HNRNPD,ATP1B1,SYN1,COL1A2,ADD2,MYOM2,VDAC1,NEFL,GNB2,GAPDH,YWHAZ,HNRNPU,VIM,SRSF3,YWHAG,CLTC,HNRNPA2B1,AP2A1,TUBB5"
"GO:MF","proton transmembrane transporter activity","GO:0015078","7.197426322818698e-9","8.142822772126442","145","95","11","24018","SLC25A5,ATP5F1B,COX5A,ATP5F1A,MTATP8,SLC25A12,ATP5ME,SLC25A3,ATP5MG,ATP5MF,CYC1"
"GO:MF","protein heterodimerization activity","GO:0046982","5.6946174221184154e-8","7.244535447536412","350","95","14","24018","H2BC1,H2AX,H4C1,H2BC21,H3F4,ATP1A2,H2AJ,TPM1,ATP1A1,ATP1B1,ADD2,MACROH2A2,TUBB2B,HIST2H2AA1"
"GO:MF","nucleosomal DNA binding","GO:0031492","1.0004384699759593e-7","6.999809616644604","65","95","8","24018","H2AX,H1-2,H1-4,H1-1,H2AJ,H1-5,MACROH2A2,HIST2H2AA1"
"GO:MF","nucleoside phosphate binding","GO:1901265","2.0741192792361214e-7","6.683166271657445","2428","95","32","24018","TUBA1C,ACTA1,H1-4,MYH4,TUBA4A,CKB,ACTBL2,MYH1,TUBB4A,TUBB3,ATP5F1B,ATP1A2,TUBB2A,ATP5F1A,TUBA3A,ATP1A1,ACTB,GNAO1,RAC1,TUBA8,ACAT1,SYN1,MYH13,ATP1A3,VDAC1,CNP,SYN2,EEF1A1,GAPDH,HNRNPU,TUBB2B,TUBB5"
"GO:MF","carbohydrate derivative binding","GO:0097367","3.657144267279237e-7","6.436857907245364","2483","95","32","24018","TUBA1C,ACTA1,H1-4,THY1,MYH4,H1-1,TUBA4A,CKB,ACTBL2,MYH1,TUBB4A,TUBB3,ATP5F1B,ATP1A2,TUBB2A,ATP5F1A,TUBA3A,ATP1A1,ACTB,GNAO1,RAC1,TUBA8,SYN1,MYH13,PPIA,ATP1A3,VDAC1,SYN2,EEF1A1,HNRNPU,TUBB2B,TUBB5"
"GO:MF","purine ribonucleoside triphosphate binding","GO:0035639","4.648726373228761e-7","6.332666015893514","2072","95","29","24018","TUBA1C,ACTA1,H1-4,MYH4,TUBA4A,CKB,ACTBL2,MYH1,TUBB4A,TUBB3,ATP5F1B,ATP1A2,TUBB2A,ATP5F1A,TUBA3A,ATP1A1,ACTB,GNAO1,RAC1,TUBA8,SYN1,MYH13,ATP1A3,VDAC1,SYN2,EEF1A1,HNRNPU,TUBB2B,TUBB5"
