source,term_name,term_id,adjusted_p_value,negative_log10_of_adjusted_p_value,term_size,query_size,intersection_size,effective_domain_size,intersections
GO:CC,myelin sheath,GO:0043209,2.24E-53,52.64934243,203,96,38,26207,"ACTB,GAPDH,TUBB4A,CKB,YWHAG,DPYSL2,MDH1,ENO1,HSPA8,ALDOA,ENO2,TUBB4B,EEF1A1,PGAM1,LDHB,UCHL1,PEBP1,PKM,GLUL,PPIA,GPI,HSP90AA1,MIF,UQCRC2,DNM1,ALB,NME1,EEF1A2,GDI1,CLTC,ATP6V1B2,PRDX2,ATP6V1A,GSTM1,ATP5F1B,CA2,GDI2,FSCN1"
GO:CC,cytoplasm,GO:0005737,1.52E-32,31.81854601,11558,96,96,26207,"ACTA1,TUBA1C,TUBB3,TUBA8,HBB-BS,ACTB,ACTBL2,GAPDH,TUBB4A,TUBB2A,TUBB5,TUBA4A,CKB,TUBA3A,HBA-A1,YWHAZ,YWHAG,DPYSL2,TUBB6,MDH1,ENO1,HSP90AB1,HSPA8,ALDOA,ENO2,CALML3,TUBB4B,TPI1,EEF1A1,PGAM1,YWHAE,CFL1,LDHB,VSNL1,TNNC2,GOT1,STMN1,UCHL1,PEBP1,PKM,PGK1,LDHA,ARF5,SNCB,CAMK2A,GLUL,PPIA,GPI,HSP90AA1,ARHGDIA,MIF,UQCRC2,PPP3CA,SNCA,DNM1,ALB,NME1,EEF1A2,YWHAH,PFN2,GDI1,CLTC,ALDOC,ATP6V1B2,GSTM5,MAP2,PCP4,PRDX2,CRMP1,ATP6V1A,GSTM1,VAMP2,RAB3A,YWHAB,FKBP1A,EIF4A2,PURA,PFN1,PPP3R1,YWHAQ,GSTP1,SH3GL2,ATP5F1B,HINT1,CALB1,PRDX5,RAN,ACOT7,CA2,GDI2,FSCN1,NCDN,PRDX6,RAB15,RPLP2,SYP"
GO:CC,cytosol,GO:0005829,1.21E-29,28.91622191,4001,96,66,26207,"HBB-BS,ACTB,GAPDH,TUBB5,CKB,HBA-A1,YWHAZ,YWHAG,DPYSL2,MDH1,ENO1,HSP90AB1,HSPA8,ALDOA,ENO2,TPI1,PGAM1,YWHAE,CFL1,LDHB,VSNL1,GOT1,STMN1,UCHL1,PKM,PGK1,LDHA,SNCB,CAMK2A,GLUL,PPIA,GPI,HSP90AA1,ARHGDIA,MIF,PPP3CA,SNCA,NME1,YWHAH,PFN2,GDI1,CLTC,ALDOC,ATP6V1B2,GSTM5,PRDX2,CRMP1,ATP6V1A,GSTM1,RAB3A,YWHAB,FKBP1A,PFN1,PPP3R1,YWHAQ,GSTP1,SH3GL2,HINT1,CALB1,PRDX5,RAN,ACOT7,CA2,FSCN1,NCDN,RPLP2"
GO:CC,plasma membrane bounded cell projection,GO:0120025,6.30E-26,25.20044196,2481,96,52,26207,"ACTA1,TUBB3,ACTB,ACTBL2,TUBB4A,CKB,TUBA3A,DPYSL2,ENO1,HSP90AB1,HSPA8,ALDOA,ENO2,TUBB4B,YWHAE,CFL1,GOT1,STMN1,UCHL1,PEBP1,PKM,LDHA,SNCB,CAMK2A,GLUL,GPI,HSP90AA1,PPP3CA,SNCA,DNM1,NME1,GDI1,ALDOC,ATP6V1B2,GSTM5,MAP2,PCP4,CRMP1,ATP6V1A,VAMP2,RAB3A,FKBP1A,PURA,SH3GL2,CALB1,RAN,ACOT7,CA2,FSCN1,NCDN,RAB15,SYP"
GO:CC,cell projection,GO:0042995,4.68E-25,24.32967803,2587,96,52,26207,"ACTA1,TUBB3,ACTB,ACTBL2,TUBB4A,CKB,TUBA3A,DPYSL2,ENO1,HSP90AB1,HSPA8,ALDOA,ENO2,TUBB4B,YWHAE,CFL1,GOT1,STMN1,UCHL1,PEBP1,PKM,LDHA,SNCB,CAMK2A,GLUL,GPI,HSP90AA1,PPP3CA,SNCA,DNM1,NME1,GDI1,ALDOC,ATP6V1B2,GSTM5,MAP2,PCP4,CRMP1,ATP6V1A,VAMP2,RAB3A,FKBP1A,PURA,SH3GL2,CALB1,RAN,ACOT7,CA2,FSCN1,NCDN,RAB15,SYP"
GO:CC,synapse,GO:0045202,5.71E-22,21.24321982,1858,96,43,26207,"ACTB,ACTBL2,GAPDH,YWHAZ,YWHAG,DPYSL2,ENO1,HSPA8,ENO2,YWHAE,CFL1,GOT1,PEBP1,SNCB,CAMK2A,GLUL,ARHGDIA,PPP3CA,SNCA,DNM1,EEF1A2,YWHAH,PFN2,GDI1,CLTC,ALDOC,ATP6V1B2,MAP2,CRMP1,ATP6V1A,VAMP2,RAB3A,FKBP1A,PURA,PFN1,PPP3R1,YWHAQ,SH3GL2,CALB1,GDI2,NCDN,RPLP2,SYP"
GO:CC,axon,GO:0030424,4.13E-21,20.38431701,805,96,31,26207,"TUBB3,ACTB,ACTBL2,TUBB4A,DPYSL2,ENO1,HSP90AB1,HSPA8,ENO2,YWHAE,CFL1,GOT1,UCHL1,PEBP1,SNCB,CAMK2A,GLUL,HSP90AA1,SNCA,DNM1,GDI1,ALDOC,MAP2,PCP4,CRMP1,RAB3A,FKBP1A,CALB1,CA2,FSCN1,SYP"
GO:CC,neuron projection,GO:0043005,7.95E-21,20.09943377,1544,96,39,26207,"TUBB3,ACTB,ACTBL2,TUBB4A,CKB,DPYSL2,ENO1,HSP90AB1,HSPA8,ENO2,YWHAE,CFL1,GOT1,STMN1,UCHL1,PEBP1,SNCB,CAMK2A,GLUL,HSP90AA1,PPP3CA,SNCA,DNM1,GDI1,ALDOC,MAP2,PCP4,CRMP1,VAMP2,RAB3A,FKBP1A,PURA,SH3GL2,CALB1,ACOT7,CA2,FSCN1,NCDN,SYP"
GO:CC,cell junction,GO:0030054,3.43E-18,17.46520761,2454,96,44,26207,"ACTB,ACTBL2,GAPDH,YWHAZ,YWHAG,DPYSL2,ENO1,HSPA8,ENO2,YWHAE,CFL1,GOT1,PEBP1,SNCB,CAMK2A,GLUL,ARHGDIA,PPP3CA,SNCA,DNM1,EEF1A2,YWHAH,PFN2,GDI1,CLTC,ALDOC,ATP6V1B2,MAP2,CRMP1,ATP6V1A,VAMP2,RAB3A,FKBP1A,PURA,PFN1,PPP3R1,YWHAQ,SH3GL2,CALB1,GDI2,FSCN1,NCDN,RPLP2,SYP"
GO:CC,distal axon,GO:0150034,9.72E-18,17.01229551,392,96,22,26207,"TUBB3,ACTB,DPYSL2,ENO1,HSP90AB1,HSPA8,ENO2,YWHAE,CFL1,GOT1,PEBP1,SNCB,GLUL,HSP90AA1,SNCA,MAP2,CRMP1,RAB3A,FKBP1A,CALB1,FSCN1,SYP"
