source,Description,term_id,adjusted_p_value,negative_log10_of_adjusted_p_value,term_size,query_size,Count,Ratio,effective_domain_size,intersections
GO:CC,plasma membrane bounded cell projection,GO:0120025,6.30E-26,25.20044196,2481,96,52,0.020959291,26207,"ACTA1,TUBB3,ACTB,ACTBL2,TUBB4A,CKB,TUBA3A,DPYSL2,ENO1,HSP90AB1,HSPA8,ALDOA,ENO2,TUBB4B,YWHAE,CFL1,GOT1,STMN1,UCHL1,PEBP1,PKM,LDHA,SNCB,CAMK2A,GLUL,GPI,HSP90AA1,PPP3CA,SNCA,DNM1,NME1,GDI1,ALDOC,ATP6V1B2,GSTM5,MAP2,PCP4,CRMP1,ATP6V1A,VAMP2,RAB3A,FKBP1A,PURA,SH3GL2,CALB1,RAN,ACOT7,CA2,FSCN1,NCDN,RAB15,SYP"
GO:CC,synaptic vesicle membrane,GO:0030672,4.63E-05,4.33402186,166,96,8,0.048192771,26207,"SNCA,CLTC,ATP6V1B2,ATP6V1A,VAMP2,RAB3A,SH3GL2,SYP"
GO:CC,exocytic vesicle membrane,GO:0099501,4.63E-05,4.33402186,166,96,8,0.048192771,26207,"SNCA,CLTC,ATP6V1B2,ATP6V1A,VAMP2,RAB3A,SH3GL2,SYP"
GO:CC,clathrin-coated vesicle membrane,GO:0030665,8.69E-05,4.061184354,75,96,6,0.08,26207,"CLTC,ATP6V1B2,ATP6V1A,VAMP2,RAB3A,SYP"
GO:CC,clathrin-sculpted glutamate transport vesicle membrane,GO:0060203,0.000242334,3.615586265,6,96,3,0.5,26207,"VAMP2,RAB3A,SYP"
GO:CC,transport vesicle membrane,GO:0030658,0.000681583,3.166480967,237,96,8,0.033755274,26207,"SNCA,CLTC,ATP6V1B2,ATP6V1A,VAMP2,RAB3A,SH3GL2,SYP"
GO:CC,coated vesicle membrane,GO:0030662,0.001518563,2.818567245,122,96,6,0.049180328,26207,"CLTC,ATP6V1B2,ATP6V1A,VAMP2,RAB3A,SYP"
GO:CC,plasma membrane region,GO:0098590,0.004090493,2.388224319,1431,96,17,0.011879804,26207,"ENO1,HSP90AB1,HSPA8,ENO2,CFL1,CAMK2A,GPI,HSP90AA1,DNM1,NME1,CLTC,ATP6V1B2,MAP2,ATP6V1A,CA2,FSCN1,SYP"
GO:CC,membrane raft,GO:0045121,0.005929128,2.22700915,319,96,8,0.02507837,26207,"TUBA1C,ACTB,TUBB5,ENO1,ENO2,LDHB,PGK1,ATP5F1B"
GO:CC,membrane microdomain,GO:0098857,0.00619948,2.207644732,321,96,8,0.024922118,26207,"TUBA1C,ACTB,TUBB5,ENO1,ENO2,LDHB,PGK1,ATP5F1B"
GO:CC,extrinsic component of synaptic vesicle membrane,GO:0098850,0.023377277,1.63120607,24,96,3,0.125,26207,"CLTC,ATP6V1B2,ATP6V1A"
