protocol,term_name,term_id,adjusted_p_value,negative_log10_of_adjusted_p_value,intersection_size,term_size,query_size
Gel,synapse,GO:0045202,1.9484351025913074e-31,30.710314054873013,52,1858,98
Gel,presynapse,GO:0098793,1.1789603349475488e-27,26.92850080610354,37,837,98
SN,plasma membrane bounded cell projection,GO:0120025,6.3e-26,25.20044196,52,2481,96
SN,cell projection,GO:0042995,4.68e-25,24.32967803,52,2587,96
FASP 8M urea,postsynapse,GO:0098794,5.090371676218446e-25,24.29325050626096,37,1005,97
FASP-Pellet,synapse,GO:0045202,2.0617359799866647e-24,23.685766950001224,46,1858,99
FASP 8M urea,synapse,GO:0045202,8.963288939695723e-23,22.04753260347735,44,1858,97
Gel,postsynapse,GO:0098794,1.8283468037099025e-22,21.73794142312507,35,1005,98
FASP-Pellet,postsynapse,GO:0098794,2.7702460648327297e-22,21.557481653371354,35,1005,99
SN,synapse,GO:0045202,5.71e-22,21.24321982,43,1858,96
FASP SDS,postsynaptic density,GO:0014069,6.27556454362352e-22,21.202347199384427,26,430,98
Pellet,synapse,GO:0045202,9.816518417775394e-22,21.008042514254768,43,1858,97
Gel,cell projection,GO:0042995,1.7711613646126587e-21,20.75174186988368,49,2587,98
FASP SDS,asymmetric synapse,GO:0032279,2.249082774526758e-21,20.64799456063432,26,452,98
FASP SDS,postsynapse,GO:0098794,2.597250611318685e-21,20.5854861428383,34,1005,98
Gel,plasma membrane bounded cell projection,GO:0120025,2.653854475904504e-21,20.57612289535418,48,2481,98
SN,axon,GO:0030424,4.13e-21,20.38431701,31,805,96
Control/membrane,synapse,GO:0045202,1.0311636015462832e-20,19.98667242529642,42,1858,97
FASP SDS,postsynaptic specialization,GO:0099572,1.0960531231595792e-20,19.96016839609257,26,481,98
Control/membrane,plasma membrane bounded cell projection,GO:0120025,1.3904509021430752e-20,19.856844341790683,47,2481,97
FASP SDS,synapse,GO:0045202,1.6911443175914302e-20,19.77181932932762,42,1858,98
Control/membrane,mitochondrion,GO:0005739,1.944798379265432e-20,19.711125416092106,42,1889,97
FASP SDS,neuron to neuron synapse,GO:0098984,2.2699844198792846e-20,19.64397712359264,26,495,98
FASP-Pellet,presynapse,GO:0098793,3.91276827359826e-20,19.407515871618248,31,837,99
Control/membrane,cell projection,GO:0042995,8.130918757920805e-20,19.089860378274185,47,2587,97
FASP SDS,intracellular membraneless organelle,GO:0043232,7.629293710928137e-19,18.11751566540611,69,6515,98
FASP SDS,membraneless organelle,GO:0043228,7.699836671120511e-19,18.113518486981206,69,6516,98
Control/membrane,axon,GO:0030424,1.3265436631901611e-18,17.87727845064172,29,805,97
Control/membrane,presynapse,GO:0098793,3.8578695179536194e-18,17.413652465284937,29,837,97
FASP-Pellet,synaptic vesicle,GO:0008021,5.766564024226428e-18,17.239082881783144,20,272,99
FASP 8M urea,neuron to neuron synapse,GO:0098984,6.236079577204488e-18,17.20508835151394,24,495,97
Pellet,plasma membrane bounded cell projection,GO:0120025,8.975782046633251e-18,17.04692770166431,44,2481,97
SN,distal axon,GO:0150034,9.72e-18,17.01229551,22,392,96
FASP 8M urea,glutamatergic synapse,GO:0098978,2.079490925956382e-17,16.682042970377513,28,809,97
FASP-Pellet,exocytic vesicle,GO:0070382,2.209252841350549e-17,16.655754577782005,20,291,99
FASP-Pellet,glutamatergic synapse,GO:0098978,3.9112698826695895e-17,16.407682216134216,28,809,99
Pellet,cell projection,GO:0042995,4.561237340402769e-17,16.340917328998817,44,2587,97
FASP 8M urea,cell projection,GO:0042995,4.561237340402769e-17,16.340917328998817,44,2587,97
FASP-Pellet,membrane protein complex,GO:0098796,4.7680382832925905e-17,16.321660266238464,33,1256,99
