protocol,term_name,term_id,adjusted_p_value,negative_log10_of_adjusted_p_value,intersection_size,term_size,query_size
SN,plasma membrane bounded cell projection,GO:0120025,6.3e-26,25.20044196,52,2481,96
Gel,plasma membrane bounded cell projection,GO:0120025,2.653854475904504e-21,20.57612289535418,48,2481,98
Control/membrane,plasma membrane bounded cell projection,GO:0120025,1.3904509021430752e-20,19.856844341790683,47,2481,97
Pellet,plasma membrane bounded cell projection,GO:0120025,8.975782046633251e-18,17.04692770166431,44,2481,97
FASP 8M urea,plasma membrane bounded cell projection,GO:0120025,7.142840489082791e-17,16.146129048249342,43,2481,97
FASP-Pellet,plasma membrane bounded cell projection,GO:0120025,1.8992860344396355e-16,15.72140962513964,43,2481,99
Gel,plasma membrane region,GO:0098590,1.2369534728670116e-13,12.907646635744474,31,1431,98
Control/membrane,membrane raft,GO:0045121,7.625488926285399e-13,12.117732305268994,17,319,97
Control/membrane,membrane microdomain,GO:0098857,8.454279612469711e-13,12.072923392638474,17,321,97
FASP SDS,plasma membrane bounded cell projection,GO:0120025,1.818875931094149e-12,11.740196923959529,38,2481,98
Gel,membrane raft,GO:0045121,1.6266043046724098e-11,10.788718082710284,16,319,98
Gel,membrane microdomain,GO:0098857,1.7913502266893923e-11,10.746819496982363,16,321,98
FASP-Pellet,plasma membrane region,GO:0098590,7.62752525558641e-11,10.117616345685732,28,1431,99
Control/membrane,plasma membrane region,GO:0098590,3.01728708770111e-10,9.520383365770424,27,1431,97
FASP-Pellet,membrane raft,GO:0045121,3.1678858197091526e-10,9.49923048010145,15,319,99
Control/membrane,synaptic vesicle membrane,GO:0030672,3.2878075186139865e-10,9.48309361572162,12,166,97
Control/membrane,exocytic vesicle membrane,GO:0099501,3.2878075186139865e-10,9.48309361572162,12,166,97
FASP-Pellet,membrane microdomain,GO:0098857,3.4655250023675034e-10,9.460230963545763,15,321,99
Gel,transport vesicle membrane,GO:0030658,1.4017028998077447e-09,8.853344028200583,13,237,98
Gel,exocytic vesicle membrane,GO:0099501,8.688157388698223e-09,8.061072320303108,11,166,98
Gel,synaptic vesicle membrane,GO:0030672,8.688157388698223e-09,8.061072320303108,11,166,98
Control/membrane,transport vesicle membrane,GO:0030658,2.1560169490319802e-08,7.666347829365573,12,237,97
Pellet-pellet,plasma membrane bounded cell projection,GO:0120025,4.793438691785337e-08,7.31935282289572,32,2481,98
Pellet-pellet,membrane raft,GO:0045121,5.676696153999976e-08,7.24590435082878,13,319,98
Pellet-pellet,membrane microdomain,GO:0098857,6.129498747146206e-08,7.212575039388483,13,321,98
FASP-Pellet,synaptic vesicle membrane,GO:0030672,2.041312032113705e-07,6.6900906045600665,10,166,99
FASP-Pellet,exocytic vesicle membrane,GO:0099501,2.041312032113705e-07,6.6900906045600665,10,166,99
Control/membrane,clathrin-sculpted glutamate transport vesicle membrane,GO:0060203,6.920901095128324e-07,6.159837357109038,4,6,97
Control/membrane,clathrin-coated vesicle membrane,GO:0030665,3.2487626327e-06,5.488282018735424,7,75,97
Gel,clathrin-coated vesicle membrane,GO:0030665,3.5091936217e-06,5.454792668677217,7,75,98
FASP-Pellet,clathrin-coated vesicle membrane,GO:0030665,3.8283922844e-06,5.4169835676934985,7,75,99
FASP-Pellet,transport vesicle membrane,GO:0030658,6.2696976372e-06,5.202753402972984,10,237,99
Control/membrane,extrinsic component of synaptic vesicle membrane,GO:0098850,6.6211671191e-06,5.179065450330584,5,24,97
Pellet,membrane raft,GO:0045121,7.5552768611e-06,5.121749616427166,11,319,97
FASP 8M urea,membrane raft,GO:0045121,7.5552768611e-06,5.121749616427166,11,319,97
Pellet,membrane microdomain,GO:0098857,8.0529924722e-06,5.094042706873845,11,321,97
FASP 8M urea,membrane microdomain,GO:0098857,8.0529924722e-06,5.094042706873845,11,321,97
SN,exocytic vesicle membrane,GO:0099501,4.63424e-05,4.33402186,8,166,96
SN,synaptic vesicle membrane,GO:0030672,4.63424e-05,4.33402186,8,166,96
SN,clathrin-coated vesicle membrane,GO:0030665,8.68592e-05,4.061184354,6,75,96
Control/membrane,coated vesicle membrane,GO:0030662,9.51929832732e-05,4.021395062519001,7,122,97
Gel,coated vesicle membrane,GO:0030662,0.0001026631736188,3.988585314555699,7,122,98
FASP-Pellet,coated vesicle membrane,GO:0030662,0.0001118263716501,3.951455766113544,7,122,99
SN,clathrin-sculpted glutamate transport vesicle membrane,GO:0060203,0.000242334,3.615586265,3,6,96
FASP 8M urea,plasma membrane region,GO:0098590,0.0002814011423446,3.550674143884269,19,1431,97
Pellet,extrinsic component of synaptic vesicle membrane,GO:0098850,0.0004658368571923,3.3317661528944957,4,24,97
Gel,extrinsic component of synaptic vesicle membrane,GO:0098850,0.0004879310402105,3.311641552940505,4,24,98
SN,transport vesicle membrane,GO:0030658,0.000681583,3.166480967,8,237,96
FASP SDS,membrane raft,GO:0045121,0.000844396361354,3.073453646808311,9,319,98
FASP SDS,membrane microdomain,GO:0098857,0.0008884356505312,3.0513740227053536,9,321,98
SN,coated vesicle membrane,GO:0030662,0.001518563,2.818567245,6,122,96
SN,plasma membrane region,GO:0098590,0.004090493,2.388224319,17,1431,96
FASP SDS,plasma membrane region,GO:0098590,0.0055840382764054,2.253051613455326,17,1431,98
SN,membrane raft,GO:0045121,0.005929128,2.22700915,8,319,96
SN,membrane microdomain,GO:0098857,0.00619948,2.207644732,8,321,96
Pellet,transport vesicle membrane,GO:0030658,0.0076682802762484,2.115302022006335,7,237,97
Pellet,synaptic vesicle membrane,GO:0030672,0.0095301915578261,2.020898369910385,6,166,97
