Protein.Group,Protein.Names,Genes,First.Protein.Description,N.Sequences,N.Proteotypic.Sequences,LFQ Intensity FASP_8M_1.raw,LFQ Intensity FASP_8M_2.raw,LFQ Intensity FASP_8M_3.raw,LFQ Intensity Control_1.raw,LFQ Intensity Gel_1.raw,LFQ Intensity FASP_Pellet_1.raw,LFQ Intensity SN_1.raw,LFQ Intensity Control_2.raw,LFQ Intensity Gel_2.raw,LFQ Intensity FASP_Pellet_2.raw,LFQ Intensity SN_2.raw,LFQ Intensity Control_3.raw,LFQ Intensity Gel_3.raw,LFQ Intensity FASP_Pellet_3.raw,LFQ Intensity SN_3.raw,LFQ Intensity Pelletpellet_1.raw,LFQ Intensity Pelletpellet_2.raw,LFQ Intensity Pelletpellet_3.raw,LFQ Intensity Pellet_1.raw,LFQ Intensity Pellet_2.raw,LFQ Intensity Pellet_3.raw,LFQ Intensity DRG_Pelletpellet.raw,LFQ Intensity DRG8M.raw,LFQ Intensity DRG_Pellet.raw,LFQ Intensity DRG_Sample.raw,LFQ Intensity DRG_SN.raw,LFQ Intensity Kidney_Pelletpellet.raw,LFQ Intensity Kidney_Pellet.raw,LFQ Intensity Kidney_Sample.raw,LFQ Intensity Kidney_SN.raw,LFQ Intensity Lung8M.raw,LFQ Intensity FASP_SDS_1.raw,LFQ Intensity FASP_SDS_2.raw,LFQ Intensity FASP_SDS_3.raw,LFQ Intensity Skin8M.raw,LFQ Intensity Testes_Pelletpellet.raw,LFQ Intensity Testes_Pellet.raw,LFQ Intensity Testes_Sample.raw,LFQ Intensity Testes_SN.raw,LFQ Intensity TRPA1_gel.raw,LFQ Intensity TRPA1_Xeno.raw,LFQ Intensity TRPV1_gel.raw,LFQ Intensity TRPV1_Xeno.raw
A0A140LJ04,A0A140LJ04_MOUSE,Zzef1,"Zinc finger, ZZ-type with EF hand domain 1",19,19,,,,,,681361,,300761,,875019,,,,824756,,707910,653154,,,,,,332205,,,,,,,,,,,,,,,,,,,,
Q62523,ZYX_MOUSE,Zyx,Zyxin,19,19,,,,121016,496228,,87887.4,133190,1.02E+06,,129255,125497,1.21E+06,,141495,109160,146399,213362,,214978,98822,193200,543038,409299,671311,440637,,323541,,,4.19E+06,,,,,216584,1.10E+06,635512,529054,,,,
Q3UFS0,ZY11B_MOUSE,Zyg11b,Protein zyg-11 homolog B,13,13,,,,13795.3,,48500.2,,25481.3,31367.1,77527.1,19855.2,28102.6,45826.4,35705.7,21256.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9CQU5,ZWINT_MOUSE,Zwint,Outer kinetochore KNL1 complex subunit ZWINT,5,5,104067,,,,,,,41962,,,,47516.6,,,,,,,,79704.9,92711.8,,,,,,,,,,,,,,,,,,,,,,
Q8R060,ZWILC_MOUSE,Zwilch,Protein zwilch homolog,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69114,10075.5,,,,
O54692,ZW10_MOUSE,Zw10,Centromere/kinetochore protein zw10 homolog,14,14,,,,65610.4,142957,169417,,,135809,138849,,,114734,219163,,254793,240761,657451,,,,1.73E+06,,,,,,,,,,,,,,164388,,251941,247135,,,,
A0A0R4J1C4,A0A0R4J1C4_MOUSE,Zswim9,Zinc finger SWIM-type containing 9,2,2,,,,,,16581.6,,,,8794.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3UHH1,ZSWM8_MOUSE,Zswim8,Zinc finger SWIM domain-containing protein 8,5,5,,,,,,40919.9,26779.5,,,43035.2,,,,55719.9,,,,,,,,,,,,,,,,,23345.1,,,,,,,35684.3,16646.1,,,,
Q64707,U2AFL_MOUSE,Zrsr2-ps1,U2 small nuclear ribonucleoprotein auxiliary factor 35 kDa subunit-related protein 2-like,3,2,,,,,,15598.7,,,,16346,,,,,,16001.5,,,,,,15771.2,,,,,,,,,,,,,,,,,,,,,
Q9R020,ZRAB2_MOUSE,Zranb2,Zinc finger Ran-binding domain-containing protein 2,8,8,,,,,,,,,,,122576,,,,101564,249777,314643,,,,209064,2.38E+06,,,,,,,,,,,,1.79E+06,,69983,530916,447306,120498,,,,
